steps	reward	average action Q
7161	0.000000	0.000000
7183	0.000000	0.000000
7204	0.000000	0.000000
7225	0.000000	0.000000
7246	0.000000	0.000000
7295	1.000000	0.000000
7316	0.000000	0.000000
7342	0.000000	0.000000
7364	0.000000	0.000000
7385	0.000000	0.000000
7406	0.000000	0.000000
7429	0.000000	0.000000
7452	0.000000	0.000000
7501	1.000000	0.000000
7522	0.000000	0.000000
7543	0.000000	0.000000
7565	0.000000	0.000000
7586	0.000000	0.000000
7608	0.000000	0.000000
7629	0.000000	0.000000
7652	0.000000	0.000000
7674	0.000000	0.000000
7696	0.000000	0.000000
7717	0.000000	0.000000
7766	1.000000	0.000000
7788	0.000000	0.000000
7810	0.000000	0.000000
7882	1.000000	0.000000
7906	0.000000	0.000000
7928	0.000000	0.000000
7949	0.000000	0.000000
7970	0.000000	0.000000
7994	0.000000	0.000000
8019	0.000000	0.000000
8070	1.000000	0.000000
8093	0.000000	0.000000
8143	1.000000	0.000000
8164	0.000000	0.000000
8214	1.000000	0.000000
8235	0.000000	0.000000
8256	0.000000	0.000000
8277	0.000000	0.000000
8300	0.000000	0.000000
8322	0.000000	0.000000
8344	0.000000	0.000000
8367	0.000000	0.000000
8388	0.000000	0.000000
8457	1.000000	0.000000
8479	0.000000	0.000000
8502	0.000000	0.000000
8524	0.000000	0.000000
8546	0.000000	0.000000
8567	0.000000	0.000000
8589	0.000000	0.000000
8659	1.000000	0.000000
8680	0.000000	0.000000
8702	0.000000	0.000000
8755	1.000000	0.000000
8777	0.000000	0.000000
8799	0.000000	0.000000
8822	0.000000	0.000000
8844	0.000000	0.000000
8865	0.000000	0.000000
8886	0.000000	0.000000
8907	0.000000	0.000000
8928	0.000000	0.000000
8949	0.000000	0.000000
9064	2.000000	0.000000
9086	0.000000	0.000000
9108	0.000000	0.000000
9129	0.000000	0.000000
9151	0.000000	0.000000
9172	0.000000	0.000000
9193	0.000000	0.000000
9214	0.000000	0.000000
9235	0.000000	0.000000
9257	0.000000	0.000000
9306	1.000000	0.000000
9336	0.000000	0.000000
9358	0.000000	0.000000
9379	0.000000	0.000000
9402	0.000000	0.000000
9451	1.000000	0.000000
9474	0.000000	0.000000
9496	0.000000	0.000000
9617	2.000000	0.000000
9639	0.000000	0.000000
9661	0.000000	0.000000
9682	0.000000	0.000000
9703	0.000000	0.000000
9724	0.000000	0.000000
9747	0.000000	0.000000
9768	0.000000	0.000000
9790	0.000000	0.000000
9812	0.000000	0.000000
9834	0.000000	0.000000
9921	2.000000	0.000000
9991	1.000000	0.000000
10013	0.000000	0.000000
10034	0.000000	0.000000
10055	0.000000	0.000000
10080	0.000000	0.000000
10101	0.000000	0.000000
10123	0.000000	0.000000
10145	0.000000	0.000000
10166	0.000000	0.000000
10187	0.000000	0.000000
10208	0.000000	0.000000
10229	0.000000	0.000000
10327	2.000000	0.000000
10376	1.000000	0.000000
10397	0.000000	0.000000
10422	0.000000	0.000000
10443	0.000000	0.000000
10465	0.000000	0.000000
10489	0.000000	0.000000
10510	0.000000	0.000000
10531	0.000000	0.000000
10600	1.000000	0.000000
10622	0.000000	0.000000
10722	2.000000	0.000000
10743	0.000000	0.000000
10766	0.000000	0.000000
10788	0.000000	0.000000
10813	0.000000	0.000000
10834	0.000000	0.000000
10857	0.000000	0.000000
10879	0.000000	0.000000
10900	0.000000	0.000000
10922	0.000000	0.000000
10989	1.000000	0.000000
11010	0.000000	0.000000
11031	0.000000	0.000000
11082	1.000000	0.000000
11107	0.000000	0.000000
11130	0.000000	0.000000
11151	0.000000	0.000000
11172	0.000000	0.000000
11194	0.000000	0.000000
11267	1.000000	0.000000
11288	0.000000	0.000000
11309	0.000000	0.000000
11330	0.000000	0.000000
11351	0.000000	0.000000
11373	0.000000	0.000000
11394	0.000000	0.000000
11415	0.000000	0.000000
11465	1.000000	0.000000
